chart	cfg	n	winrate	avgR	totalR	A	B	C
ELEC 1D	base	128	40	+0.15	+19.47	+0.48(10)	+0.10(43)	+0.14(75)
ELEC 1D	confirm	103	49	+0.44	+45.03	+0.60(8)	+0.81(26)	+0.28(69)
ABUK 1D	base	150	38	+0.03	+3.76	-0.33(13)	+0.22(52)	-0.04(85)
ABUK 1D	confirm	122	48	+0.48	+58.45	-0.11(12)	+0.83(45)	+0.34(65)
MASR 1D	base	125	39	+0.06	+7.03	-0.06(8)	-0.13(44)	+0.18(73)
MASR 1D	confirm	113	45	+0.18	+19.90	+0.11(?)	+0.22(33)	+0.17(67)
BTFH 1D	base	72	35	-0.01	-0.90	-0.02(6)	+0.06(30)	-0.07(36)
BTFH 1D	confirm	53	40	+0.30	+16.09	-0.18(8)	+0.18(21)	+0.58(24)
ETH 4H	base	94	47	+0.14	+13.28	-0.02(13)	-0.14(29)	+0.34(52)
ETH 4H	confirm	80	41	+0.07	+5.90	-0.48(8)	+0.35(29)	-0.01(43)
ETH 1H	base	92	37	-0.14	-13.11	-0.18(7)	+0.01(24)	-0.20(61)
ETH 1H	confirm	101	39	-0.10	-10.07	-0.22(8)	+0.01(29)	-0.14(64)
SOL 1H	base	75	52	+0.15	+11.48	+0.37(2)	+0.16(18)	+0.14(55)
SOL 1H	confirm	74	42	-0.04	-2.73	-0.33(6)	-0.10(29)	+0.05(39)
SOL 4H	base	82	41	+0.01	+0.90	+0.54(10)	-0.11(31)	-0.03(41)
SOL 4H	confirm	86	38	+0.06	+4.92	+0.47(6)	-0.32(26)	+0.19(54)
XRP 1H	base	71	46	+0.18	+12.58	+0.33(1)	+0.19(17)	+0.17(53)
XRP 1H	confirm	85	39	+0.02	+1.34	-0.50(6)	+0.45(23)	-0.11(56)
XRP 4H	base	83	42	+0.24	+20.02	+0.48(9)	-0.11(29)	+0.42(45)
XRP 4H	confirm	86	38	+0.05	+4.03	+0.38(5)	+0.01(37)	+0.04(44)
